Reporting Economy,Partner Economy
Afghanistan,Kazakhstan
Afghanistan,Pakistan
Afghanistan,Pakistan
Afghanistan,Tajikistan
Albania,Cabo Verde
Albania,Montenegro
Albania,Montenegro
Algeria,Argentina
Algeria,Argentina
Algeria,Haiti
Algeria,Haiti
Algeria,Haiti
Algeria,Haiti
Algeria,Haiti
Algeria,Israel
Algeria,Maldives
Algeria,Morocco
Algeria,Morocco
Algeria,Sao TomÈ and Principe
Algeria,Tunisia
Algeria,Tunisia
Angola,Democratic Republic of the Congo
Angola,Democratic Republic of the Congo
Angola,Liberia
Angola,Mauritania
Angola,Mauritania
Angola,Namibia
Angola,Namibia
Angola,Sao TomÈ and Principe
Angola,Sao TomÈ and Principe
Antigua and Barbuda,Dominica
Antigua and Barbuda,Dominica
Antigua and Barbuda,Dominica
Antigua and Barbuda,Dominica
Antigua and Barbuda,Dominica
Antigua and Barbuda,Grenada
Antigua and Barbuda,Grenada
Antigua and Barbuda,Grenada
Antigua and Barbuda,Grenada
Antigua and Barbuda,Grenada
Antigua and Barbuda,Palau
Antigua and Barbuda,Saint Kitts and Nevis
Antigua and Barbuda,Saint Kitts and Nevis
Antigua and Barbuda,Saint Kitts and Nevis
Antigua and Barbuda,Saint Kitts and Nevis
Antigua and Barbuda,Saint Kitts and Nevis
Antigua and Barbuda,Saint Lucia
Antigua and Barbuda,Saint Lucia
Antigua and Barbuda,Saint Vincent and the Grenadines
Antigua and Barbuda,Saint Vincent and the Grenadines
Antigua and Barbuda,Saint Vincent and the Grenadines
Antigua and Barbuda,Saint Vincent and the Grenadines
Antigua and Barbuda,Saint Vincent and the Grenadines
Azerbaijan,Kazakhstan
Azerbaijan,Kazakhstan
Azerbaijan,Russian Federation
Argentina,Ecuador
Argentina,Ecuador
Argentina,Ecuador
Argentina,Paraguay
Argentina,Paraguay
Australia,Antigua and Barbuda
Australia,Antigua and Barbuda
Australia,Solomon Islands
Australia,Solomon Islands
Australia,Solomon Islands
Australia,Solomon Islands
Australia,Cook Islands
Australia,Cook Islands
Australia,Fiji
Australia,Fiji
Australia,Fiji
Australia,Fiji
Australia,Fiji
Australia,Nauru
Australia,Nauru
Australia,Vanuatu
Australia,Vanuatu
Australia,Vanuatu
Australia,New Zealand
Australia,New Zealand
Australia,New Zealand
Australia,New Zealand
Australia,New Zealand
Australia,Norway
Australia,Norway
Australia,Norway
Australia,Norway
Australia,Papua New Guinea
Australia,Papua New Guinea
Australia,Papua New Guinea
Australia,Papua New Guinea
Australia,Papua New Guinea
Australia,Timor-Leste
Australia,Timor-Leste
Australia,Timor-Leste
Australia,Seychelles
Australia,Seychelles
Australia,Seychelles
Australia,Seychelles
Australia,Seychelles
Australia,Sierra Leone
Australia,Singapore
Australia,Singapore
Australia,Singapore
Australia,Singapore
Australia,Singapore
Australia,Tonga
Australia,Tonga
Australia,Tonga
Australia,Tonga
Australia,Tonga
Australia,Samoa
Australia,Samoa
Australia,Samoa
Australia,Samoa
Bahamas,Antigua and Barbuda
Bahamas,Dominica
Bahamas,Dominica
Bahamas,Dominica
Bahamas,Dominica
Bahamas,Niger
Bahamas,Tajikistan
"Bahrain, Kingdom of",Belize
"Bahrain, Kingdom of",Cook Islands
"Bahrain, Kingdom of",Djibouti
"Bahrain, Kingdom of","Kuwait, the State of"
"Bahrain, Kingdom of","Kuwait, the State of"
"Bahrain, Kingdom of","Kuwait, the State of"
"Bahrain, Kingdom of","Kuwait, the State of"
"Bahrain, Kingdom of","Kuwait, the State of"
"Bahrain, Kingdom of",Oman
"Bahrain, Kingdom of",Oman
"Bahrain, Kingdom of",Qatar
"Bahrain, Kingdom of",Qatar
"Bahrain, Kingdom of",Qatar
"Bahrain, Kingdom of",Qatar
"Bahrain, Kingdom of","Saudi Arabia, Kingdom of"
"Bahrain, Kingdom of","Saudi Arabia, Kingdom of"
"Bahrain, Kingdom of","Saudi Arabia, Kingdom of"
"Bahrain, Kingdom of","Saudi Arabia, Kingdom of"
Bangladesh,Bhutan
Bangladesh,Belize
Bangladesh,Belize
Bangladesh,Cameroon
Bangladesh,Cameroon
Bangladesh,Chad
Bangladesh,Chad
Bangladesh,Benin
Bangladesh,Benin
Bangladesh,Georgia
Bangladesh,Georgia
Bangladesh,India
Bangladesh,India
Bangladesh,Maldives
Bangladesh,Maldives
Bangladesh,Mali
Bangladesh,Saint Kitts and Nevis
Bangladesh,Eswatini
Bangladesh,Tajikistan
Bangladesh,Tajikistan
Bangladesh,Burkina Faso
Bangladesh,Uzbekistan
Armenia,Georgia
Armenia,Georgia
Armenia,Sierra Leone
Armenia,Sierra Leone
Barbados,Jamaica
Barbados,Saint Lucia
Barbados,Saint Vincent and the Grenadines
Barbados,Trinidad and Tobago
"Bolivia, Plurinational State of",Palau
Bosnia and Herzegovina,Albania
Bosnia and Herzegovina,North Macedonia
Bosnia and Herzegovina,North Macedonia
Bosnia and Herzegovina,North Macedonia
Bosnia and Herzegovina,Serbia
Bosnia and Herzegovina,Serbia
Bosnia and Herzegovina,Serbia
Bosnia and Herzegovina,Serbia
Bosnia and Herzegovina,Serbia
Bosnia and Herzegovina,Montenegro
Bosnia and Herzegovina,Montenegro
Bosnia and Herzegovina,Montenegro
Bosnia and Herzegovina,Montenegro
Botswana,Lesotho
Botswana,Lesotho
Botswana,Namibia
Botswana,Namibia
Botswana,Namibia
Botswana,Namibia
Botswana,Namibia
Botswana,South Africa
Botswana,South Africa
Botswana,South Africa
Botswana,South Africa
Botswana,South Africa
Brazil,Argentina
Brazil,Argentina
Brazil,Argentina
Brazil,Argentina
Brazil,Argentina
Brazil,Ghana
Brazil,Ghana
Brazil,Guinea
Brazil,Paraguay
Brazil,Paraguay
Brazil,Paraguay
Brazil,Paraguay
Brazil,Paraguay
Brazil,Guinea-Bissau
Brazil,Suriname
Brazil,Suriname
Brazil,Uruguay
Brazil,Uruguay
Brazil,Uruguay
Brazil,Uruguay
Brazil,Uruguay
Belize,Dominica
Belize,Dominica
Belize,Dominica
Belize,Dominica
Belize,Grenada
Belize,Grenada
Belize,Palau
Belize,Saint Kitts and Nevis
Belize,Saint Kitts and Nevis
Belize,Saint Kitts and Nevis
Belize,Saint Kitts and Nevis
Belize,Saint Kitts and Nevis
Belize,Saint Lucia
Belize,Saint Lucia
Belize,Saint Lucia
Belize,Saint Lucia
Belize,Saint Vincent and the Grenadines
Belize,Saint Vincent and the Grenadines
Belize,Saint Vincent and the Grenadines
Belize,Saint Vincent and the Grenadines
Myanmar,Belize
Myanmar,Belize
Myanmar,Maldives
Burundi,Rwanda
Burundi,Rwanda
Belarus,Albania
Belarus,Azerbaijan
Belarus,Armenia
Belarus,Armenia
Belarus,Armenia
Belarus,Armenia
Belarus,Armenia
Belarus,Bosnia and Herzegovina
Belarus,Bosnia and Herzegovina
Belarus,Central African Republic
Belarus,Benin
Belarus,Djibouti
Belarus,Georgia
Belarus,Georgia
Belarus,The Gambia
Belarus,Guinea
Belarus,Israel
Belarus,Israel
Belarus,Lebanese Republic
Belarus,"Moldova, Republic of"
Belarus,"Moldova, Republic of"
Belarus,"Moldova, Republic of"
Belarus,"Moldova, Republic of"
Belarus,"Moldova, Republic of"
Belarus,Morocco
Belarus,Morocco
Belarus,Nepal
Belarus,Russian Federation
Belarus,Russian Federation
Belarus,Russian Federation
Belarus,Russian Federation
Belarus,Russian Federation
Belarus,Suriname
Belarus,North Macedonia
Belarus,North Macedonia
Belarus,North Macedonia
Belarus,Yemen
Belarus,Montenegro
Cambodia,Antigua and Barbuda
