id,date,state,fips,cases,deaths
1,1/21/20,Washington,53,1,0
2,1/22/20,Washington,53,1,0
3,1/23/20,Washington,53,1,0
4,1/24/20,Illinois,17,1,0
5,1/24/20,Washington,53,1,0
6,1/25/20,California,6,1,0
7,1/25/20,Illinois,17,1,0
8,1/25/20,Washington,53,1,0
9,1/26/20,Arizona,4,1,0
10,1/26/20,California,6,2,0
11,1/26/20,Illinois,17,1,0
12,1/26/20,Washington,53,1,0
13,1/27/20,Arizona,4,1,0
14,1/27/20,California,6,2,0
15,1/27/20,Illinois,17,1,0
16,1/27/20,Washington,53,1,0
17,1/28/20,Arizona,4,1,0
18,1/28/20,California,6,2,0
19,1/28/20,Illinois,17,1,0
20,1/28/20,Washington,53,1,0
21,1/29/20,Arizona,4,1,0
22,1/29/20,California,6,2,0
23,1/29/20,Illinois,17,1,0
24,1/29/20,Washington,53,1,0
25,1/30/20,Arizona,4,1,0
26,1/30/20,California,6,2,0
27,1/30/20,Illinois,17,2,0
28,1/30/20,Washington,53,1,0
29,1/31/20,Arizona,4,1,0
30,1/31/20,California,6,3,0
31,1/31/20,Illinois,17,2,0
32,1/31/20,Washington,53,1,0
33,2/1/20,Arizona,4,1,0
34,2/1/20,California,6,3,0
35,2/1/20,Illinois,17,2,0
36,2/1/20,Massachusetts,25,1,0
37,2/1/20,Washington,53,1,0
38,2/2/20,Arizona,4,1,0
39,2/2/20,California,6,6,0
40,2/2/20,Illinois,17,2,0
41,2/2/20,Massachusetts,25,1,0
42,2/2/20,Washington,53,1,0
43,2/3/20,Arizona,4,1,0
44,2/3/20,California,6,6,0
45,2/3/20,Illinois,17,2,0
46,2/3/20,Massachusetts,25,1,0
47,2/3/20,Washington,53,1,0
48,2/4/20,Arizona,4,1,0
49,2/4/20,California,6,6,0
50,2/4/20,Illinois,17,2,0
51,2/4/20,Massachusetts,25,1,0
52,2/4/20,Washington,53,1,0
53,2/5/20,Arizona,4,1,0
54,2/5/20,California,6,6,0
55,2/5/20,Illinois,17,2,0
56,2/5/20,Massachusetts,25,1,0
57,2/5/20,Washington,53,1,0
58,2/5/20,Wisconsin,55,1,0
59,2/6/20,Arizona,4,1,0
60,2/6/20,California,6,6,0
61,2/6/20,Illinois,17,2,0
62,2/6/20,Massachusetts,25,1,0
63,2/6/20,Washington,53,1,0
64,2/6/20,Wisconsin,55,1,0
65,2/7/20,Arizona,4,1,0
66,2/7/20,California,6,6,0
67,2/7/20,Illinois,17,2,0
68,2/7/20,Massachusetts,25,1,0
69,2/7/20,Washington,53,1,0
70,2/7/20,Wisconsin,55,1,0
71,2/8/20,Arizona,4,1,0
72,2/8/20,California,6,6,0
73,2/8/20,Illinois,17,2,0
74,2/8/20,Massachusetts,25,1,0
75,2/8/20,Washington,53,1,0
76,2/8/20,Wisconsin,55,1,0
77,2/9/20,Arizona,4,1,0
78,2/9/20,California,6,6,0
79,2/9/20,Illinois,17,2,0
80,2/9/20,Massachusetts,25,1,0
81,2/9/20,Washington,53,1,0
82,2/9/20,Wisconsin,55,1,0
83,2/10/20,Arizona,4,1,0
84,2/10/20,California,6,7,0
85,2/10/20,Illinois,17,2,0
86,2/10/20,Massachusetts,25,1,0
87,2/10/20,Washington,53,1,0
88,2/10/20,Wisconsin,55,1,0
89,2/11/20,Arizona,4,1,0
90,2/11/20,California,6,7,0
91,2/11/20,Illinois,17,2,0
92,2/11/20,Massachusetts,25,1,0
93,2/11/20,Washington,53,1,0
94,2/11/20,Wisconsin,55,1,0
95,2/12/20,Arizona,4,1,0
96,2/12/20,California,6,7,0
97,2/12/20,Illinois,17,2,0
98,2/12/20,Massachusetts,25,1,0
99,2/12/20,Texas,48,1,0
100,2/12/20,Washington,53,1,0
101,2/12/20,Wisconsin,55,1,0
102,2/13/20,Arizona,4,1,0
103,2/13/20,California,6,7,0
104,2/13/20,Illinois,17,2,0
105,2/13/20,Massachusetts,25,1,0
106,2/13/20,Texas,48,2,0
107,2/13/20,Washington,53,1,0
108,2/13/20,Wisconsin,55,1,0
109,2/14/20,Arizona,4,1,0
110,2/14/20,California,6,7,0
111,2/14/20,Illinois,17,2,0
112,2/14/20,Massachusetts,25,1,0
113,2/14/20,Texas,48,2,0
114,2/14/20,Washington,53,1,0
115,2/14/20,Wisconsin,55,1,0
116,2/15/20,Arizona,4,1,0
117,2/15/20,California,6,7,0
118,2/15/20,Illinois,17,2,0
119,2/15/20,Massachusetts,25,1,0
120,2/15/20,Texas,48,2,0
121,2/15/20,Washington,53,1,0
122,2/15/20,Wisconsin,55,1,0
123,2/16/20,Arizona,4,1,0
124,2/16/20,California,6,7,0
